stock	accuracy
樂士	1.000000
大統染	1.000000
信大	1.000000
台南-KY	1.000000
三福化	0.996269
大眾控	0.996269
興航	0.996269
愛山林	0.996269
關貿	0.996139
欣欣	0.996124
皇鼎	0.995816
科風	0.995816
大山	0.995614
上福	0.992537
台火	0.992537
如興	0.992278
康那香	0.992188
秋雨	0.991632
皇昌	0.991342
潤弘	0.988806
