stock	accuracy
6215	0.600000
1460	0.576923
2910	0.368421
6271	0.155556
2033	0.776471
1626	0.550000
3454	0.200000
6213	0.454545
3315	0.538462
6239	0.409091
1522	0.300000
3419	0.352941
2642	0.780000
3450	0.300000
1724	0.956522
3528	0.954545
1530	-1.000000
6128	0.300000
2430	0.580000
2891	0.632653
6226	0.934783
8374	0.227273
2373	0.666667
2354	0.300000
5534	0.488372
2429	0.981481
4306	0.590909
5880	0.704545
6116	0.500000
6235	0.465116
8110	0.500000
6443	0.477273
2511	0.620000
6136	0.620000
2012	0.712000
2528	-1.000000
2540	0.854701
2451	0.200000
2008	0.680769
2491	0.000000
2545	0.440000
2832	0.901961
2344	0.619231
2495	0.718750
2614	0.480000
1201	0.765385
1468	0.707965
8926	0.636364
1506	0.606178
1402	0.492308
8213	0.534884
1434	0.519231
9926	0.600000
2393	0.509804
2448	0.540000
3038	0.660000
1301	0.388462
3055	0.615385
6702	0.555556
4958	0.272727
2617	0.571429
1101	0.400000
2352	0.626923
2412	0.300000
2383	0.260000
8072	0.295455
2705	0.981481
1303	0.376923
3535	0.568182
8467	0.838235
1436	0.767347
2543	0.803922
3034	0.306122
9939	0.318182
3494	0.386364
2701	1.000000
2402	0.420000
2462	0.576923
2351	0.426923
2499	0.780000
1726	0.638298
5471	0.673077
5538	1.000000
8011	0.377778
1432	0.728395
1469	-1.000000
1516	0.968586
1463	0.580769
3041	0.408163
2104	0.407692
1102	0.542308
3701	-1.000000
2454	0.265306
3532	0.318182
2388	0.750000
9906	0.431818
3591	0.734694
1466	0.667954
3561	0.622222
1560	0.242308
9904	0.477273
2305	0.603922
3056	0.760000
9927	0.477273
4144	0.444444
1903	0.925581
6005	0.795455
1806	0.719231
5521	0.860465
2450	0.274510
3376	0.244898
2347	0.588462
5525	0.909091
1457	0.611538
2883	0.510204
9918	-1.000000
3536	0.555556
3050	0.700000
1515	0.657692
3057	0.480000
2475	1.000000
6531	0.363636
2369	0.640000
2504	0.680000
6422	0.232558
3257	0.230769
2492	0.265306
6202	0.608696
5285	0.454545
3665	0.069767
2385	0.183673
2327	0.430769
2901	0.602564
2465	0.814815
3673	0.209302
3229	1.000000
9937	0.421053
1439	0.616505
6201	0.590909
3043	0.849057
1456	0.924528
1527	0.226923
3605	0.363636
1219	0.744000
1615	0.757282
2722	0.958333
2102	0.650000
2885	0.500000
1413	0.793970
2027	0.515385
9912	0.680851
6449	0.627907
2514	0.460000
4536	0.172414
2329	0.563707
2443	1.000000
1708	0.469231
2889	0.745098
2929	0.122449
8215	0.545455
3033	0.754717
1540	0.741313
2356	0.401544
6409	0.022727
6209	0.522727
8249	0.522727
8442	0.772727
4938	0.363636
2360	0.338462
3593	0.840909
2457	0.180000
9802	0.104167
6142	0.733333
8021	0.636364
2030	0.665385
3047	0.745098
2420	0.539683
2702	1.000000
2022	0.648438
6277	0.090909
4915	0.386364
1589	0.126923
2471	0.627451
2867	0.580000
3515	0.673913
2414	0.836364
