stock	accuracy
高雄銀	0.899628
利奇	0.898438
櫻花建	0.898230
皇昌	0.896552
宏亞	0.896104
亞崴	0.895928
全坤建	0.895911
恆大	0.893701
台硝	0.892193
榮運	0.892193
耿鼎	0.891051
燁興	0.890152
艾美特-KY	0.888476
國賓	0.888476
天仁	0.888446
正峰新	0.888060
智寶	0.886555
合勤控	0.885932
弘裕	0.884758
利華	0.884758
